category,icon_slug,size,style,file_name,relative_path,raw_url
Cube Checkmark,cube_checkmark,16,filled,ic_fluent_cube_checkmark_16_filled.svg,Cube Checkmark/SVG/ic_fluent_cube_checkmark_16_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Cube%20Checkmark/SVG/ic_fluent_cube_checkmark_16_filled.svg
Cube Checkmark,cube_checkmark,16,regular,ic_fluent_cube_checkmark_16_regular.svg,Cube Checkmark/SVG/ic_fluent_cube_checkmark_16_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Cube%20Checkmark/SVG/ic_fluent_cube_checkmark_16_regular.svg
Cube Checkmark,cube_checkmark,20,filled,ic_fluent_cube_checkmark_20_filled.svg,Cube Checkmark/SVG/ic_fluent_cube_checkmark_20_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Cube%20Checkmark/SVG/ic_fluent_cube_checkmark_20_filled.svg
Cube Checkmark,cube_checkmark,20,regular,ic_fluent_cube_checkmark_20_regular.svg,Cube Checkmark/SVG/ic_fluent_cube_checkmark_20_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Cube%20Checkmark/SVG/ic_fluent_cube_checkmark_20_regular.svg
Cube Checkmark,cube_checkmark,24,filled,ic_fluent_cube_checkmark_24_filled.svg,Cube Checkmark/SVG/ic_fluent_cube_checkmark_24_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Cube%20Checkmark/SVG/ic_fluent_cube_checkmark_24_filled.svg
Cube Checkmark,cube_checkmark,24,regular,ic_fluent_cube_checkmark_24_regular.svg,Cube Checkmark/SVG/ic_fluent_cube_checkmark_24_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Cube%20Checkmark/SVG/ic_fluent_cube_checkmark_24_regular.svg
Cube Checkmark,cube_checkmark,28,filled,ic_fluent_cube_checkmark_28_filled.svg,Cube Checkmark/SVG/ic_fluent_cube_checkmark_28_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Cube%20Checkmark/SVG/ic_fluent_cube_checkmark_28_filled.svg
Cube Checkmark,cube_checkmark,28,regular,ic_fluent_cube_checkmark_28_regular.svg,Cube Checkmark/SVG/ic_fluent_cube_checkmark_28_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Cube%20Checkmark/SVG/ic_fluent_cube_checkmark_28_regular.svg
Cube Checkmark,cube_checkmark,32,filled,ic_fluent_cube_checkmark_32_filled.svg,Cube Checkmark/SVG/ic_fluent_cube_checkmark_32_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Cube%20Checkmark/SVG/ic_fluent_cube_checkmark_32_filled.svg
Cube Checkmark,cube_checkmark,32,regular,ic_fluent_cube_checkmark_32_regular.svg,Cube Checkmark/SVG/ic_fluent_cube_checkmark_32_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Cube%20Checkmark/SVG/ic_fluent_cube_checkmark_32_regular.svg
Cube Checkmark,cube_checkmark,48,filled,ic_fluent_cube_checkmark_48_filled.svg,Cube Checkmark/SVG/ic_fluent_cube_checkmark_48_filled.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Cube%20Checkmark/SVG/ic_fluent_cube_checkmark_48_filled.svg
Cube Checkmark,cube_checkmark,48,regular,ic_fluent_cube_checkmark_48_regular.svg,Cube Checkmark/SVG/ic_fluent_cube_checkmark_48_regular.svg,https://raw.githubusercontent.com/microsoft/fluentui-system-icons/refs/heads/main/assets/Cube%20Checkmark/SVG/ic_fluent_cube_checkmark_48_regular.svg
